pixel_id,row,col,lat,lon,region,dominant_pft,pft_purity,pft_entropy,mean_lai,amplitude,is_forced_anchor,frac_TREES_NE,frac_TREES_BD,frac_TREES_BE,frac_TREES_ND,frac_SHRUBS_NE,frac_SHRUBS_BE,frac_SHRUBS_BD,frac_SHRUBS_ND,frac_GRASS_NAT,frac_GRASS_MAN
px055_shrubs_bd,414,592,32.150000000000006,-100.09999996666667,Great Plains,SHRUBS_BD,0.8100000023841858,0.48622292280197144,0.6588829755783081,0.6250827312469482,False,0.0,0.0,0.0,0.0,0.0,0.0,0.8100000023841858,0.0,0.1899999976158142,0.0
px056_shrubs_nd,499,618,28.608333333333334,-99.01666663333334,Other,SHRUBS_ND,0.6100000143051147,0.9285967350006104,0.9679459929466248,0.8049377202987671,False,0.0,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.6100000143051147,0.23999999463558197,0.0
px057_shrubs_nd,398,186,32.81666666666667,-117.01666663333334,California,SHRUBS_ND,0.8400000333786011,0.5168823003768921,0.36693015694618225,0.4132041335105896,False,0.0,0.0,0.0,0.1300000101327896,0.0,0.0,0.0,0.8400000333786011,0.030000001192092896,0.0
px058_grass_nat,321,936,36.025000000000006,-85.76666663333334,Southeast,GRASS_NAT,0.644444465637207,0.6508179903030396,1.9226245880126953,2.9267919063568115,False,0.0,0.35555556416511536,0.0,0.0,0.0,0.0,0.0,0.0,0.644444465637207,0.0
px059_shrubs_bd,454,633,30.483333333333334,-98.39166663333334,Great Plains,SHRUBS_BD,0.6700000166893005,0.634178638458252,0.821094810962677,0.6984994411468506,False,0.0,0.0,0.0,0.0,0.0,0.0,0.6700000166893005,0.0,0.33000001311302185,0.0
px060_grass_nat,110,958,44.81666666666667,-84.84999996666667,Midwest,GRASS_NAT,0.47999998927116394,1.0047465562820435,1.631752371788025,3.9132981300354004,False,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.3700000047683716,0.0,0.47999998927116394,0.0
px061_grass_nat,125,170,44.19166666666667,-117.68333330000002,Pacific Northwest,GRASS_NAT,0.46000000834465027,0.9989753365516663,0.31129056215286255,0.6492084860801697,False,0.14000000059604645,0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.46000000834465027,0.0
px062_shrubs_nd,523,611,27.608333333333334,-99.30833330000002,Other,SHRUBS_ND,0.6299999952316284,0.6589556932449341,0.7418688535690308,0.47781944274902344,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6299999952316284,0.3700000047683716,0.0
px063_trees_bd,13,647,48.858333333333334,-97.80833330000002,Great Plains,TREES_BD,0.8500000238418579,0.42270907759666443,0.889991283416748,2.7185447216033936,False,0.0,0.8500000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448
px064_shrubs_bd,478,614,29.483333333333334,-99.18333330000002,Other,SHRUBS_BD,0.8600000143051147,0.40496349334716797,1.0667766332626343,0.8265373706817627,False,0.0,0.14000000059604645,0.0,0.0,0.0,0.0,0.8600000143051147,0.0,0.0,0.0
px065_trees_ne,74,134,46.31666666666667,-119.18333330000002,Pacific Northwest,TREES_NE,0.8600000143051147,0.40496349334716797,1.0566209554672241,1.7703280448913574,False,0.8600000143051147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14000000059604645
px066_grass_man,111,209,44.775000000000006,-116.05833330000002,Northern Rockies / Great Basin,GRASS_MAN,0.6399999856948853,0.653418242931366,0.867656409740448,1.7845593690872192,False,0.36000001430511475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399999856948853
px067_grass_man,12,576,48.900000000000006,-100.76666663333334,Great Plains,GRASS_MAN,0.8799999952316284,0.3669250011444092,0.7218002676963806,2.9611449241638184,False,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8799999952316284
px068_trees_nd,28,59,48.233333333333334,-122.30833330000002,Pacific Northwest,TREES_ND,0.8700000047683716,0.3863867223262787,1.2840161323547363,1.585558295249939,False,0.0,0.0,0.0,0.8700000047683716,0.0,0.0,0.0,0.0,0.0,0.12999999523162842
px069_trees_bd,37,656,47.858333333333334,-97.43333330000002,Great Plains,TREES_BD,0.6000000238418579,0.6730116605758667,0.771152675151825,2.6236555576324463,False,0.0,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645
