pixel_id,R2_baseline,RMSE_baseline,R2_fractional,RMSE_fractional,R2_dominant,RMSE_dominant,R2_shuffled,RMSE_shuffled,dominant_pft,pft_purity,pft_entropy,delta_fractional_vs_baseline,delta_fractional_vs_shuffled,delta_dominant_vs_baseline
px056_shrubs_nd,0.8940135318981474,0.1047998565874512,0.8863655284584551,0.1085151878789066,0.8862018484139647,0.1085933128487793,0.8862494989786835,0.1085705748938796,SHRUBS_ND,0.6100000143051147,0.9285967350006104,-0.007648003439692297,0.00011602947977151779,-0.007811683484182708
px057_shrubs_nd,0.777069130429016,0.0698047290658308,0.7797995614249865,0.0693759320127411,0.779811052032795,0.0693741218845889,0.7796343782679116,0.069401948280527,SHRUBS_ND,0.8400000333786011,0.5168823003768921,0.0027304309959704787,0.00016518315707492182,0.0027419216037789518
px058_grass_nat,0.9406095010165904,0.3283413114266706,0.940382892156279,0.3289671203711233,0.9405571728114928,0.3284859282327638,0.9405457469371932,0.3285174968741098,GRASS_NAT,0.644444465637207,0.6508179903030396,-0.0002266088603113392,-0.00016285478091415673,-5.232820509759595e-05
px059_shrubs_bd,0.264663461123912,0.1121937909251111,0.2780277796640171,0.1111695872070457,0.276802257647863,0.1112639003993474,0.2805016846384748,0.1109789572980746,SHRUBS_BD,0.6700000166893005,0.634178638458252,0.013364318540105113,-0.002473904974457708,0.012138796523951001
px060_grass_nat,0.9777597644125784,0.2316012237819299,0.9768729539051524,0.2361735410452636,0.9768756656933496,0.2361596942402324,0.9767861211983652,0.2366164937332922,GRASS_NAT,0.4799999892711639,1.0047465562820437,-0.0008868105074260058,8.683270678722099e-05,-0.0008840987192287875
px061_grass_nat,0.9103555033389086,0.0889374770776464,0.905350072498204,0.0913867287592124,0.904847086670524,0.0916292293307907,0.9056733441933614,0.0912305320664074,GRASS_NAT,0.4600000083446502,0.9989753365516664,-0.005005430840704594,-0.00032327169515744547,-0.00550841666838453
px062_shrubs_nd,0.5864152710338519,0.1344854869995026,0.588236573870042,0.1341890434459504,0.588229384248331,0.1341902149490364,0.5884291870408418,0.1341576545478411,SHRUBS_ND,0.6299999952316284,0.6589556932449341,0.0018213028361900863,-0.00019261317079977136,0.0018141132144791072
px063_trees_bd,0.9154242507199194,0.3148241034923714,0.9177291804088836,0.3105045440627357,0.917550770478018,0.3108410369646721,0.9168118713623138,0.3122307883961944,TREES_BD,0.8500000238418579,0.4227090775966644,0.00230492968896423,0.0009173090465698364,0.002126519758098633
px064_shrubs_bd,0.6027565634252527,0.1326653537728502,0.6051848130187685,0.132259257196573,0.6052991977446925,0.1322400969219876,0.6021627902230839,0.1327644664458856,SHRUBS_BD,0.8600000143051147,0.4049634933471679,0.00242824959351573,0.0030220227956845314,0.002542634319439796
px065_trees_ne,0.9371568226429784,0.1555343996113151,0.9380103912241952,0.1544745139445651,0.9380594758432788,0.1544133438196176,0.9381735302206534,0.1542711135692594,TREES_NE,0.8600000143051147,0.4049634933471679,0.0008535685812167682,-0.00016313899645825636,0.0009026532003003629
px066_grass_man,0.9403705902538788,0.1895040687635484,0.940734119967234,0.1889255314393622,0.9406952250411114,0.1889875151587938,0.9402726512187244,0.1896596315221239,GRASS_MAN,0.6399999856948853,0.653418242931366,0.0003635297133551818,0.00046146874850960806,0.00032463478723254724
px067_grass_man,0.920001584078287,0.3296568068593943,0.9223458450865736,0.3247907879088972,0.9221302804151172,0.3252412782806689,0.9215707790052314,0.326407631842074,GRASS_MAN,0.8799999952316284,0.3669250011444092,0.0023442610082865523,0.0007750660813421462,0.002128696336830216
px068_trees_nd,0.5645162128244409,0.3486301479977093,0.5718498498701146,0.3456821823146475,0.5723873546417617,0.3454651274160881,0.5708040284611906,0.346104115283888,TREES_ND,0.8700000047683716,0.3863867223262787,0.007333637045673691,0.0010458214089239526,0.007871141817320848
px069_trees_bd,0.9278337259756914,0.2283499524700762,0.9310656385788314,0.223178144439799,0.9313506311650268,0.2227163283694928,0.9306305936799348,0.2238812756867384,TREES_BD,0.6000000238418579,0.6730116605758667,0.0032319126031400414,0.00043504489889656384,0.003516905189335451
