,tmmx,tmmn,pr,srad,vpd,sph,vs
2021-08-09,307.7309,296.05963,4.786968,236.1852,0.8625157,0.017864708,0.6379342
2021-08-10,306.10535,296.51288,6.4926147,234.06592,0.7313061,0.018558446,1.1784765
2021-08-11,306.02692,295.33478,9.021759,248.78592,0.7565961,0.017922407,1.1507006
2021-08-12,307.08636,295.21017,3.1733513,256.2689,0.7756877,0.017177375,0.76293963
2021-08-13,305.8077,295.85876,2.714157,237.39555,0.68018556,0.017835429,1.3141572
2021-08-14,302.18015,296.51324,11.23333,139.29556,0.52258015,0.017488325,1.4043013
2021-08-15,304.79803,296.19556,0.6837845,217.04074,0.48698616,0.01791989,2.242337
2021-08-16,302.1112,298.19818,9.200096,80.37185,0.48262382,0.01840564,2.9159524
2021-08-17,304.68402,297.6339,13.035774,195.79926,0.5528724,0.019388517,3.0576565
2021-08-18,306.17276,297.63287,5.34153,213.42075,0.6734755,0.019270036,0.92929125
2021-08-19,307.4605,297.70743,1.0514259,235.49408,0.8982537,0.019136526,0.7177917
2021-08-20,307.21008,297.2433,3.5395622,248.29036,0.9977193,0.018286752,1.3547814
2021-08-21,305.5852,296.9509,5.411625,218.9674,0.9224057,0.017684704,2.2473764
2021-08-22,303.32288,297.4079,17.091274,151.32741,0.5633552,0.018378993,2.4457319
2021-08-23,304.8142,297.7494,6.5875053,178.26,0.50949883,0.018747067,2.5824568
2021-08-24,305.25543,296.4116,6.757736,179.47112,0.6304469,0.018007062,0.9851472
2021-08-25,303.86316,295.41885,3.7169456,206.38814,0.50178075,0.017090453,0.9476828
2021-08-26,305.1408,294.9399,0.5264282,212.9,0.6875763,0.017180115,2.8205826
2021-08-27,304.5896,297.57065,2.6931763,184.9637,0.5639231,0.018674426,2.8263583
2021-08-28,305.4591,297.94244,5.3954124,192.54666,0.3758099,0.019579288,2.9719253
2021-08-29,305.99945,297.7116,0.78105927,233.22,0.70770836,0.018886873,2.8660383
2021-08-30,307.11377,297.0615,0.012397766,266.18964,1.0245016,0.017518273,1.9117354
2021-08-31,305.65247,297.59955,0.5426407,198.12074,0.8202312,0.018056415,2.4119568
2021-09-01,302.23523,297.275,5.4779053,153.44888,0.5698805,0.017776467,3.4630392
2021-09-02,303.23285,296.57263,24.34206,163.11925,0.50727344,0.018092295,2.2545414
2021-09-03,303.99234,295.008,1.0528564,216.18074,0.58491325,0.017033696,2.0241804
2021-09-04,303.84323,293.14963,0.0,249.48074,0.8672898,0.014263883,2.0144928
2021-09-05,305.75897,292.88385,0.15544891,236.27185,0.81741023,0.015387024,1.0056487
2021-09-06,305.0705,294.95984,0.061035156,252.37926,0.9225373,0.016062614,0.543707
2021-09-07,305.13187,295.92523,6.386757,208.57333,0.8358867,0.016992409,1.6326694
2021-09-08,301.9646,295.70227,14.798641,135.53926,0.3267603,0.018017037,1.5257759
2021-09-09,303.04645,296.23743,6.394863,179.53703,0.4904878,0.017193962,2.7018933
2021-09-10,301.13,294.6037,1.3985634,155.52147,0.5153873,0.016427381,0.6251934
2021-09-11,302.4742,294.4605,0.19264221,171.70222,0.5816467,0.015785739,2.679888
2021-09-12,304.44806,295.2309,0.09059906,225.90741,0.84444237,0.01531151,2.1665776
2021-09-13,304.9619,293.43515,0.0,250.04297,0.96609735,0.0143599855,1.6892774
2021-09-14,305.9375,294.0799,1.5320778,212.4911,0.7346356,0.015807878,1.1937582
2021-09-15,305.63327,294.06775,0.8249283,179.89925,0.54836273,0.017147548,1.7740834
2021-09-16,300.01505,296.63275,31.003952,56.140743,0.31565714,0.018045397,1.1674181
2021-09-17,303.10504,294.6988,6.213665,165.50815,0.3325665,0.017644115,0.59000367
2021-09-18,302.54306,295.84637,6.239891,151.45036,0.4253192,0.017994523,1.0279078
2021-09-19,302.5748,296.06226,21.669388,119.26,0.28837848,0.0180033,1.3358679
2021-09-20,302.91568,296.0,8.8534355,133.82816,0.2748139,0.018209472,0.96449167
2021-09-21,304.33456,296.0184,19.396305,137.53038,0.40722632,0.017964914,0.535356
2021-09-22,304.78217,295.456,3.054142,188.8163,0.4850366,0.017792964,1.7768781
2021-09-23,301.46786,291.60345,0.23174286,263.20667,1.0285116,0.011675367,2.4921315
2021-09-24,302.15012,289.2962,0.0,241.37259,0.9321631,0.010261154,2.2450569
2021-09-25,302.5471,291.06006,0.00667572,208.40445,0.89352274,0.011795852,2.029723
2021-09-26,302.99155,290.681,0.0,258.5489,0.9611435,0.011836794,0.8938849
2021-09-27,303.26172,289.73715,0.0,231.06148,0.9342575,0.01156667,1.0860684
2021-09-28,303.68494,291.00262,0.0009536743,201.2526,0.90700245,0.012695902,0.9315242
2021-09-29,303.70648,292.05878,0.18548965,195.30148,0.8211131,0.013433344,1.1973403
2021-09-30,303.61304,291.4112,0.02861023,186.39778,0.81127596,0.014130535,0.8156424
2021-10-01,303.6808,291.96826,1.1200905,182.78369,0.67720413,0.014739652,1.9848849
2021-10-02,304.7548,293.2525,0.85783005,193.70667,0.70599604,0.0151964715,2.3055315
2021-10-03,303.12366,292.3116,0.24700165,193.54889,0.68875027,0.014316612,1.1653774
2021-10-04,303.67267,293.63556,0.32424927,190.11186,0.8367119,0.014245949,1.1833345
2021-10-05,303.23438,294.70352,0.6213188,130.22888,0.7709861,0.014923603,1.5590578
2021-10-06,301.46765,295.5912,5.6610107,82.2,0.4410386,0.017120855,1.6778305
2021-10-07,304.66095,296.0097,4.181385,147.18666,0.51232266,0.01732167,0.99108726
2021-10-08,301.14587,295.43295,6.5026283,121.19038,0.33633304,0.017190848,0.32258078
2021-10-09,302.20697,293.78268,0.330925,182.6963,0.55881023,0.015332526,1.3631457
2021-10-10,300.70502,291.96472,0.032424927,159.8689,0.6960757,0.013305869,2.3392136
2021-10-11,302.27148,291.38074,0.2565384,178.13185,0.66481686,0.013552104,1.6653786
2021-10-12,301.82202,293.4613,0.415802,179.4563,0.5891032,0.014667831,2.3463016
2021-10-13,303.5693,291.75952,0.0,188.59409,0.73194957,0.013680217,1.8591194
2021-10-14,304.03275,291.83902,0.0,204.38222,0.7073779,0.014157896,1.4388106
2021-10-15,303.87302,291.24298,0.0,193.28075,0.80135465,0.013699728,0.86395067
2021-10-16,304.34973,291.87952,0.5106926,168.44742,0.6708467,0.01467457,1.5430793
2021-10-17,298.55563,284.9797,0.0,231.09409,1.0319695,0.007628536,3.1563134
2021-10-18,298.10504,283.3418,0.0,179.74147,0.7486948,0.00720415,2.424442
2021-10-19,300.11197,284.8394,0.0,210.7763,0.79071367,0.008401613,2.2863293
2021-10-20,301.33594,286.54456,0.0,196.54814,0.67759657,0.010381137,2.1787748
2021-10-21,302.2424,288.33658,0.28562546,169.33704,0.74621904,0.011382975,1.3631692
2021-10-22,303.2251,290.75705,0.005722046,197.44667,0.8289602,0.01234196,1.1207883
2021-10-23,302.381,288.6811,0.07534027,214.68591,0.98665035,0.01057714,0.9481301
2021-10-24,302.85938,287.66254,0.94270706,171.12741,0.7552724,0.010749109,1.643093
2021-10-25,301.68045,295.0591,7.3661804,127.53778,0.36202312,0.0166392,0.8519967
2021-10-26,300.15472,292.0492,0.0,204.68889,0.80341387,0.012527118,3.018368
2021-10-27,298.3476,284.52405,0.0,203.07259,0.6971761,0.008340186,1.3379569
2021-10-28,297.36322,287.8757,17.385006,51.994076,0.1692307,0.012554849,2.5212178
2021-10-29,294.71365,289.0445,0.16736984,131.41481,0.69336617,0.00946389,4.0019336
2021-10-30,292.05164,283.66055,0.0038146973,150.75703,0.4550134,0.007807147,3.1405215
2021-10-31,292.48618,283.79904,0.0,164.79259,0.423926,0.007762716,2.5899558
2021-11-01,296.0857,282.39136,0.0,180.80667,0.4503368,0.008048013,0.779198
2021-11-02,298.6129,285.55414,0.015258789,157.2889,0.4743948,0.010044581,1.4032999
