site,model,predictor_set,n_predictors,predictors,RMSE,MAE,R2,Pearson_r,baseline_RMSE,baseline_MAE,baseline_R2,baseline_Pearson_r,delta_RMSE,delta_MAE,delta_R2,delta_Pearson_r
high_amplitude_deciduous,BiLSTM,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph",0.4246433694822925,0.3002789199726583,0.954910823807826,0.978202034452169,0.4152603391336414,0.2862535212722756,0.956881413587146,0.9794111563358704,0.009383030348651067,0.014025398700382719,-0.0019705897793199645,-0.0012091218837013695
high_amplitude_deciduous,LSTM,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph",0.4370925661584247,0.3112149799753185,0.9522283274673422,0.976784210985815,0.4841476706470805,0.3293260085174674,0.9413889773009724,0.9710134503651208,-0.0470551044886558,-0.01811102854214891,0.010839350166369832,0.00577076062069426
high_amplitude_deciduous,GRU,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph",0.4496763974375167,0.3159896911931724,0.9494380526636408,0.9750312256855482,0.393047223676,0.2864433105708777,0.9613710350157588,0.9819227885206468,0.056629173761516716,0.0295463806222947,-0.011932982352118038,-0.006891562835098619
high_amplitude_deciduous,RNN,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph",0.4404247628389303,0.3179088003623628,0.9514971716580024,0.9759709075533164,0.4260640456792504,0.2955901090790109,0.95460862069852,0.9791241216637164,0.014360717159679903,0.0223186912833519,-0.003111449040517633,-0.0031532141104000377
high_amplitude_deciduous,CNN,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph",0.4851472365604086,0.3576804721006967,0.9411467121345336,0.9711923781685308,0.487907218404951,0.3438821474669494,0.9404751797263274,0.9704944319630406,-0.002759981844542403,0.013798324633747305,0.0006715324082061658,0.0006979462054901298
high_amplitude_deciduous,RF,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph",0.4168999706286408,0.2860398294387039,0.9565402388575444,0.9791984452072348,0.4141766503085155,0.2858543115812303,0.9571061697454496,0.9792283392968696,0.0027233203201252887,0.00018551785747356053,-0.0005659308879052416,-2.9894089634829868e-05
high_amplitude_deciduous,SVM,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph",0.4572842388467157,0.3663687479832014,0.947712717414488,0.975964418195879,0.4435991550983559,0.3355054587665454,0.950795476931212,0.9770896915210188,0.013685083748359805,0.030863289216655987,-0.0030827595167239874,-0.0011252733251397862
high_amplitude_deciduous,AELSTM,top3_essential,3,"tmmx,tmmn,srad",0.5408398681216173,0.3648397998170961,0.9268589817018884,0.963347453654444,0.5131185490276505,0.3333454675486489,0.9341646672364492,0.966832290323584,0.0277213190939668,0.03149433226844717,-0.007305685534560791,-0.0034848366691400123
high_amplitude_deciduous,BiLSTM,top3_essential,3,"tmmx,tmmn,srad",0.4241993026867369,0.2922781589817273,0.9550050776603456,0.9777657797379294,0.4152603391336414,0.2862535212722756,0.956881413587146,0.9794111563358704,0.00893896355309548,0.006024637709451719,-0.0018763359268003654,-0.0016453765979409507
high_amplitude_deciduous,LSTM,top3_essential,3,"tmmx,tmmn,srad",0.4580277927081852,0.3222425219340299,0.9475425387110618,0.9738193342339636,0.4841476706470805,0.3293260085174674,0.9413889773009724,0.9710134503651208,-0.026119877938895253,-0.007083486583437493,0.006153561410089381,0.00280588386884284
